"26  වජ්‍යෂ්ඨ වපාලිස් අධිකාරි","වමාණරාගල 
වකාට්ඨාසවේ 
සිට 
සුබසාධක"
"එස්.පී.වේ ගාල්ලවේ මහතා","වකාට්ඨාසවේ අධයේෂ වලස"
"27  වපාලිස් අධිකාරි","බස්නාහිර  පළාත  (දකුණ)  අපරාධ  වකාට්ඨාසවේ"
"වේ.එච්.එම්.එන් ජ්‍යපත්කම මහතා","අධයේෂ  තනතුවේ  සිට  ගම්පහ  වකාට්ඨාසය"
"","වවත."
"28  සහකාර වපාලිස් අධිකාරි","වපාලිස්පති  අණවදන  වතාරතුරු    වකාට්ඨාසවේ"
"සි.ඒ.එස්.බී ජ්‍යසුන්දර මහතා","සිට ත්‍රිකුණාමලය වකාට්ඨාසය වවත."
"29  සහකාර වපාලිස් අධිකාරි","ජ්‍ාතික වපාලිස් අභයාස ආයතනවේ සිට වකාළඹ"
"එච්.එම්.අයි.එස් නිර්ාන්ත මහතා","දිසා අපරාධ වකාට්ඨාසය වවත."
"30  සහකාර වපාලිස් අධිකාරි","මාතවල් 
වකාට්ඨාසවේ 
සිට 
ත්‍රිකුණාමලය"
"යූ.ජී.පී.වේ රත්කනායක මහතා","වකාට්ඨාසය  වවත  ලබාදී  ඇති  ස්තාන  මාරුවීම"
"","තඹුත්කවත්කගම  වකාට්ඨාසය  වලස  සංවර්ෝධනය"
"","කිරීම"
"31  සහකාර වපාලිස් අධිකාරි","වපාලිස්පති  අණවදන  වතාරතුරු  වකාට්ඨාසවේ"
"වේ.හසීම්ඩීන් මහතා","සිට ගම්පහ වකාට්ඨාසය වවත."
"32  සහකාර වපාලිස් අධිකාරි","අම්පාර  වකාට්ඨාසවේ  සිට  වකාළඹ  දිසා  අපරාධ"
"ඩබ්.ඒ.වේ.අයි.පී වේමතිලක මහතා","වකාට්ඨාසය වවත."
